{time: 1729091496114, bid: 5820.837, ask: 5821.36, mid: 5821.098500}
{time: 1729091498621, bid: 5820.843, ask: 5821.369, mid: 5821.106000}
{time: 1729091499776, bid: 5820.849, ask: 5821.354, mid: 5821.101500}
{time: 1729091501780, bid: 5820.834, ask: 5821.303, mid: 5821.068500}
{time: 1729091506805, bid: 5820.831, ask: 5821.366, mid: 5821.098500}
{time: 1729091508058, bid: 5820.963, ask: 5821.477, mid: 5821.220000}
{time: 1729091509011, bid: 5820.84, ask: 5821.363, mid: 5821.101500}
{time: 1729091519005, bid: 5821.084, ask: 5821.598, mid: 5821.341000}
{time: 1729091520709, bid: 5821.589, ask: 5822.103, mid: 5821.846000}
{time: 1729091521965, bid: 5821.577, ask: 5822.088, mid: 5821.832500}
{time: 1729091522568, bid: 5821.577, ask: 5822.103, mid: 5821.840000}
{time: 1729091525978, bid: 5821.821, ask: 5822.356, mid: 5822.088500}
{time: 1729091526601, bid: 5821.821, ask: 5822.359, mid: 5822.090000}
{time: 1729091529316, bid: 5821.339, ask: 5821.85, mid: 5821.594500}
{time: 1729091530821, bid: 5821.086, ask: 5821.591, mid: 5821.338500}
{time: 1729091531823, bid: 5821.077, ask: 5821.603, mid: 5821.340000}
{time: 1729091532776, bid: 5821.586, ask: 5822.106, mid: 5821.846000}
{time: 1729091533432, bid: 5821.83, ask: 5822.356, mid: 5822.093000}
{time: 1729091535739, bid: 5821.833, ask: 5822.347, mid: 5822.090000}
{time: 1729091538144, bid: 5822.067, ask: 5822.581, mid: 5822.324000}
{time: 1729091544094, bid: 5821.324, ask: 5821.856, mid: 5821.590000}
{time: 1729091553071, bid: 5821.592, ask: 5822.091, mid: 5821.841500}
{time: 1729091558988, bid: 5821.811, ask: 5822.346, mid: 5822.078500}
{time: 1729091559590, bid: 5821.589, ask: 5822.106, mid: 5821.847500}
{time: 1729091560892, bid: 5821.447, ask: 5821.913, mid: 5821.680000}
{time: 1729091562849, bid: 5821.637, ask: 5822.091, mid: 5821.864000}
{time: 1729091566588, bid: 5821.321, ask: 5821.856, mid: 5821.588500}
{time: 1729091567941, bid: 5821.58, ask: 5822.043, mid: 5821.811500}
{time: 1729091580040, bid: 5822.566, ask: 5823.068, mid: 5822.817000}
{time: 1729091580943, bid: 5822.563, ask: 5823.023, mid: 5822.793000}
{time: 1729091591712, bid: 5824.031, ask: 5824.566, mid: 5824.298500}
{time: 1729091596296, bid: 5823.54, ask: 5824.051, mid: 5823.795500}
{time: 1729091602965, bid: 5823.294, ask: 5823.826, mid: 5823.560000}
{time: 1729091603969, bid: 5823.059, ask: 5823.576, mid: 5823.317500}
{time: 1729091605023, bid: 5823.543, ask: 5824.048, mid: 5823.795500}
{time: 1729091608934, bid: 5823.54, ask: 5824.048, mid: 5823.794000}
{time: 1729091610311, bid: 5823.287, ask: 5823.819, mid: 5823.553000}
{time: 1729091613216, bid: 5822.806, ask: 5823.329, mid: 5823.067500}
{time: 1729091886950, bid: 5824.043, ask: 5824.566, mid: 5824.304500}
{time: 1729091889797, bid: 5823.799, ask: 5824.313, mid: 5824.056000}
{time: 1729091896937, bid: 5824.043, ask: 5824.56, mid: 5824.301500}
{time: 1729091898341, bid: 5824.299, ask: 5824.753, mid: 5824.526000}
{time: 1729091899242, bid: 5824.289, ask: 5824.803, mid: 5824.546000}
{time: 1729091909741, bid: 5823.789, ask: 5824.294, mid: 5824.041500}
{time: 1729091932204, bid: 5823.774, ask: 5824.306, mid: 5824.040000}
{time: 1729091934560, bid: 5823.792, ask: 5824.303, mid: 5824.047500}
{time: 1729091944966, bid: 5824.033, ask: 5824.493, mid: 5824.263000}
{time: 1729091946673, bid: 5824.042, ask: 5824.556, mid: 5824.299000}
{time: 1729091947326, bid: 5823.78, ask: 5824.291, mid: 5824.035500}
{time: 1729091951693, bid: 5823.771, ask: 5824.243, mid: 5824.007000}
{time: 1729091954666, bid: 5823.531, ask: 5824.054, mid: 5823.792500}
{time: 1729091956320, bid: 5823.789, ask: 5824.297, mid: 5824.043000}
{time: 1729091958726, bid: 5823.789, ask: 5824.243, mid: 5824.016000}
{time: 1729091960832, bid: 5823.786, ask: 5824.309, mid: 5824.047500}
{time: 1729091964523, bid: 5823.531, ask: 5824.063, mid: 5823.797000}
{time: 1729091968337, bid: 5823.774, ask: 5824.297, mid: 5824.035500}
{time: 1729091972648, bid: 5823.537, ask: 5824.054, mid: 5823.795500}
{time: 1729091973601, bid: 5823.552, ask: 5824.051, mid: 5823.801500}
{time: 1729091976328, bid: 5823.347, ask: 5823.816, mid: 5823.581500}
{time: 1729091979837, bid: 5823.347, ask: 5823.801, mid: 5823.574000}
{time: 1729091982846, bid: 5823.287, ask: 5823.819, mid: 5823.553000}
{time: 1729091984552, bid: 5823.534, ask: 5824.06, mid: 5823.797000}
{time: 1729091985905, bid: 5823.302, ask: 5823.804, mid: 5823.553000}
{time: 1729091989729, bid: 5823.531, ask: 5824.054, mid: 5823.792500}
{time: 1729091992838, bid: 5823.792, ask: 5824.291, mid: 5824.041500}
{time: 1729091997146, bid: 5823.534, ask: 5824.069, mid: 5823.801500}
{time: 1729091999104, bid: 5823.783, ask: 5824.309, mid: 5824.046000}
{time: 1729092007352, bid: 5823.789, ask: 5824.297, mid: 5824.043000}
{time: 1729092011692, bid: 5823.774, ask: 5824.309, mid: 5824.041500}
{time: 1729092013247, bid: 5823.771, ask: 5824.303, mid: 5824.037000}
{time: 1729092016665, bid: 5824.036, ask: 5824.541, mid: 5824.288500}
{time: 1729092019874, bid: 5824.021, ask: 5824.493, mid: 5824.257000}
{time: 1729092021227, bid: 5824.043, ask: 5824.569, mid: 5824.306000}
{time: 1729092023896, bid: 5824.296, ask: 5824.807, mid: 5824.551500}
{time: 1729092024748, bid: 5824.539, ask: 5825.059, mid: 5824.799000}
{time: 1729092027605, bid: 5824.771, ask: 5825.294, mid: 5825.032500}
{time: 1729092031868, bid: 5825.032, ask: 5825.543, mid: 5825.287500}
{time: 1729092033734, bid: 5825.273, ask: 5825.796, mid: 5825.534500}
{time: 1729092035447, bid: 5825.267, ask: 5825.79, mid: 5825.528500}
{time: 1729092038713, bid: 5825.014, ask: 5825.528, mid: 5825.271000}
{time: 1729092040267, bid: 5825.514, ask: 5826.046, mid: 5825.780000}
